"date_","continent","location","population","new_people_vaccinated_smoothed","cumsum_vac"
"2020-12-12","Asia","Afghanistan",39835428,0,0.0
"2020-12-13","Asia","Afghanistan",39835428,0,0.0
"2020-12-14","Asia","Afghanistan",39835428,0,0.0
"2020-12-15","Asia","Afghanistan",39835428,0,0.0
"2020-12-16","Asia","Afghanistan",39835428,0,0.0
"2020-12-17","Asia","Afghanistan",39835428,0,0.0
"2020-12-18","Asia","Afghanistan",39835428,0,0.0
"2020-12-19","Asia","Afghanistan",39835428,0,0.0
"2020-12-20","Asia","Afghanistan",39835428,0,0.0
"2020-12-21","Asia","Afghanistan",39835428,0,0.0
"2020-12-22","Asia","Afghanistan",39835428,0,0.0
"2020-12-23","Asia","Afghanistan",39835428,0,0.0
"2020-12-24","Asia","Afghanistan",39835428,0,0.0
"2020-12-25","Asia","Afghanistan",39835428,0,0.0
"2020-12-26","Asia","Afghanistan",39835428,0,0.0
"2020-12-27","Asia","Afghanistan",39835428,0,0.0
"2020-12-28","Asia","Afghanistan",39835428,0,0.0
"2020-12-29","Asia","Afghanistan",39835428,0,0.0
"2020-12-30","Asia","Afghanistan",39835428,0,0.0
"2020-12-31","Asia","Afghanistan",39835428,0,0.0
"2021-01-01","Asia","Afghanistan",39835428,0,0.0
"2021-01-02","Asia","Afghanistan",39835428,0,0.0
"2021-01-03","Asia","Afghanistan",39835428,0,0.0
"2021-01-04","Asia","Afghanistan",39835428,0,0.0
"2021-01-05","Asia","Afghanistan",39835428,0,0.0
"2021-01-06","Asia","Afghanistan",39835428,0,0.0
"2021-01-07","Asia","Afghanistan",39835428,0,0.0
"2021-01-08","Asia","Afghanistan",39835428,0,0.0
"2021-01-09","Asia","Afghanistan",39835428,0,0.0
"2021-01-10","Asia","Afghanistan",39835428,0,0.0
"2021-01-11","Asia","Afghanistan",39835428,0,0.0
"2021-01-12","Asia","Afghanistan",39835428,0,0.0
"2021-01-13","Asia","Afghanistan",39835428,0,0.0
"2021-01-14","Asia","Afghanistan",39835428,0,0.0
"2021-01-15","Asia","Afghanistan",39835428,0,0.0
"2021-01-16","Asia","Afghanistan",39835428,0,0.0
"2021-01-17","Asia","Afghanistan",39835428,0,0.0
"2021-01-18","Asia","Afghanistan",39835428,0,0.0
"2021-01-19","Asia","Afghanistan",39835428,0,0.0
"2021-01-20","Asia","Afghanistan",39835428,0,0.0
"2021-01-21","Asia","Afghanistan",39835428,0,0.0
